,museum names,museum names no space,museum ratings,number of museum reviews
0,Smithsonian National Museum of Natural History,SmithsonianNationalMuseumofNaturalHistory,4.5,1002
1,Newseum,Newseum,4.5,920
2,Smithsonian National Air and Space Museum,SmithsonianNationalAirandSpaceMuseum,4,1066
3,National Gallery of Art,NationalGalleryofArt,4.5,653
4,National Portrait Gallery,NationalPortraitGallery,4.5,553
5,National Museum of American History,NationalMuseumofAmericanHistory,4,629
6,National Museum of African American History and Culture,NationalMuseumofAfricanAmericanHistoryandCulture,4.5,763
7,United States Holocaust Memorial Museum,UnitedStatesHolocaustMemorialMuseum,4.5,755
8,United States Botanic Garden,UnitedStatesBotanicGarden,4.5,456
9,Smithsonian American Art Museum Renwick Gallery,SmithsonianAmericanArtMuseumRenwickGallery,4.5,409
10,International Spy Museum,InternationalSpyMuseum,3.5,923
11,Hirshhorn Museum & Sculpture Garden,HirshhornMuseum&SculptureGarden,4,409
12,Museum of the Bible,MuseumoftheBible,4.5,219
13,National Geographic Museum,NationalGeographicMuseum,3.5,240
14,Ford's Theatre,Ford'sTheatre,4.5,426
15,National Archives and Records Administration,NationalArchivesandRecordsAdministration,4.5,360
16,The Kreeger Museum,TheKreegerMuseum,4.5,48
17,National Postal Museum,NationalPostalMuseum,4.5,160
18,Library of Congress,LibraryofCongress,4.5,450
19,The Phillips Collection,ThePhillipsCollection,4,211
